"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029
Czech Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;5861,187;6569,378;6065,51;6521,063;6374,041;6048,872;6659,088;8096,686;9857,191;11784,605;13458,775;15281,951;18513,803;22895,716;19863,767;20184,18;22068,782;20024,209;20256,925;20063,059;17944,844;18731,83;20882,415;23661,699;24013,061;23464,296;27667,664;27876,28;31630,255;31365,509;33038,228;34711,841;36201,558;37770,215;39435,808
C�te d'Ivoire;1764,741;1429,982;1235,211;1060,684;1028,742;1010,216;1301,055;1377,855;1379,623;1268,839;1348,805;1260,371;1288,913;1161,76;848,957;1091,591;1171,414;1092,136;1134,494;1082,768;913,448;925,966;996,887;1198,538;1259,645;1262,108;1279,071;1421,758;1650,425;1607,992;1597,512;1602,649;1623,908;1843,024;2026,153;1846,22;1896,474;2000,09;2167,041;2173,778;2209,109;2478,224;2326,334;2537,065;2719,971;2901,813;3071,685;3268,378;3449,146;3632,39
Denmark;13824,64;11994,613;11737,06;11791,596;11515,53;12218,954;17150,903;21304,876;22525,652;21894,222;26914,854;27044,086;29632,327;27624,212;30023,075;35440,899;35703,887;32841,426;33405,3;33477,76;30777,178;30823,475;33304,059;40572,443;46684,835;48998,314;52213,64;58786,14;64826,681;58536,553;58240,45;61920,301;58559,563;61512,411;62700,908;53316,984;54699,182;57683,746;61456,783;59489,614;61075,932;69927,264;68434,674;68618,872;69273,048;71966,691;74302,943;76593,169;78892,038;81574,684
Djibouti;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1076,215;1070,407;1091,835;1058,462;1109,77;1109,097;1078,124;1068,48;1061,623;1084,925;1088,219;1106,677;1121,167;1160,467;1212,849;1271,217;1359,487;1478,419;1692,43;1722,341;1837,212;2038,56;2190,283;2314,559;2470,925;2652,513;2803,689;2926,153;3038,268;3172,748;3223,83;3378,403;3666,833;3895,094;4154,792;4417,009;4716,518;5018,473;5346,528;5639,239
Dominica;no data;1112,642;1217,573;1346,688;1495,272;1642,752;1864,889;2102,964;2377,904;2582,185;2819,552;3087,299;3287,848;3448,673;3713,105;3855,291;4104,42;4254,367;4526,684;4657,561;4681,178;4775,344;4680,264;4825,77;5165,218;5127,438;5497,251;5939,91;6463,44;6903,996;6980,957;7160,275;6994,866;7153,468;7388,583;7596,222;8089,25;7507,368;7981,044;8466,407;6872,22;7530,367;8193,119;8781,135;9391,59;9942,061;10419,848;10883,451;11348,425;11795,646
Dominican Republic;1534,317;1677,447;1545,099;1562,13;2397,598;1022,611;1212,354;1245,272;1113,835;1230,744;1123,244;1365,232;1573,686;1741,669;1916,439;2141,061;2309,916;2495,032;2658,543;2674,828;2894,303;3007,381;3158,393;2460,554;2540,849;4008,356;4188,715;4803,473;5194,799;5151,172;5688,751;6063,35;6274,865;6413,934;6805,662;7139,507;7521,268;7874,941;8340,961;8595,18;7553,509;8965,655;10720,515;11372,125;11692,09;12451,947;13248,58;14087,155;14978,28;15918,084
Ecuador;2015,082;2005,705;1947,085;1664,708;1724,507;1964,321;1404,716;1280,021;1186,36;1136,258;1127,223;1236,273;1321,881;1511,298;1785,609;1902,883;1957,419;2165,066;2169,513;1536,21;1404,638;1823,704;2097,116;2358,041;2633,053;2960,733;3298,408;3533,67;4257,891;4111,478;4578,936;5209,999;5682,119;6144,123;6422,124;5975,078;5907,928;6220,968;6293,459;6199,031;5469,758;6099,278;6581,095;6663,636;6758,373;6941,046;7108,259;7332,136;7570,075;7818,582
Egypt;580,042;617,659;711,351;846,388;925,97;1049,33;1132,456;1585,217;1858,029;2266,442;1870,847;923,843;825,448;897,202;968,914;1098,086;1209,49;1327,405;1454,957;1518,197;1636,752;1566,199;1355,278;1252,404;1195,597;1331,362;1563,739;1862,164;2271,232;2578,884;2922,796;3077,343;3569,482;3583,854;3705,465;3933,927;3862,011;2592,707;2710,158;3214,301;3802,438;4145,939;4587,172;3743,608;3541,75;3160,11;3468,707;3786,363;4132,243;4502,88
El Salvador;806,915;703,457;689,204;656,058;476,822;459,963;458,437;460,592;530,169;596,506;891,759;959,119;1047,044;1186,338;1348,916;1552,129;1653,641;1749,514;1858,366;1904,858;1977,835;2051,156;2106,732;2197,501;2273,938;2434,33;2651,445;2814,604;2964,17;2889,68;3017,326;3305,002;3471,047;3555,186;3638,533;3761,493;3870,318;3986,02;4145,89;4280,298;3960,335;4599,656;5048,438;5344,249;5606,972;5892,503;6138,081;6393,891;6664,781;6950,37
Equatorial Guinea;123,403;109,806;121,292;126,408;130,117;205,657;241,443;284,263;296,908;253,241;312,102;299,071;351,662;343,493;245,881;333,846;527,121;965,017;777,254;1251,452;1885,985;2616,505;3105,658;5373,616;8187,817;10816,42;12744,023;15784,548;22831,933;16578,72;17167,174;21476,215;21570,068;20253,043;19276,253;11219,121;9200;9621,136;10129,619;8355,696;7045,629;8415,533;9020,808;7755,011;8101,698;7892,898;7952,368;7935,394;7640,669;7822,403
Eritrea;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;268,192;167,084;195,44;219,091;263,808;270,574;283,919;274,584;238,508;245,162;227,498;258,933;315,55;300,697;321,219;340,334;301,238;415,601;501,424;642,502;693,804;596,754;786,54;603,193;655,424;557,857;580,845;566,731;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data
Estonia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1194,185;1711,265;2720,996;3379,95;3686,89;4096,119;4151,424;4084,932;4520,155;5359,959;7218,08;8925,08;10428,693;12659,144;16765,784;18274,232;14757,1;14697,472;17552,466;17579,346;19310,675;20574,581;17723,954;18661,231;20844,174;23628,862;24023,899;23911,344;27966,793;28469,346;30137,644;31530,969;33225,113;34930,922;36444,031;38087,375;39864,026
