"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029
Moldova;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;290,058;373,927;389,592;485,354;572,302;653,525;575,974;398,41;448,062;505,784;569,109;680,272;894,061;1031,422;1179,323;1526,379;2102,942;1890,647;2428,106;2930,062;3031,129;3307,351;3314,553;2715,782;2857,879;3422,643;4121,047;4376,654;4377,542;5293,206;5726,139;6641,582;7368,494;8161,296;9104,858;10215,014;11463,126;12903,047
Mongolia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1288,653;1324,852;722,215;352,304;419,198;647,441;592,439;511,954;480,917;445,544;473,198;521,317;566,403;639,373;789,958;989,177;1321,606;1616,138;2109,269;1687,55;2602,373;3702,359;4281,33;4293,834;4081,015;3800,11;3575,095;3612,716;4078,182;4309,049;3965,097;4482,853;4959,141;5796,476;6665,645;7576,313;7997,296;8561,636;9112,223;9626,594
Montenegro;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;11696,262;12802,124;13961,47;14872,602;15597,376;16380,923;17224,496
Morocco;1225,165;969,43;953,628;842,002;752,278;741,673;956,733;1030,894;1193,499;1200,487;1351,48;1418,361;1453,799;1340,916;1482,245;1600,892;1745,452;1561,012;1644,073;1614,86;1486,875;1489,702;1573,475;1914,006;2163,48;2232,944;2427,109;2759,516;3189,2;3162,86;3134,698;3367,347;3224,712;3463,601;3527,712;3235,57;3235,218;3401,256;3615,592;3622,679;3375,438;3911,053;3571,091;3901,397;4203,553;4470,641;4746,461;5033,829;5335,07;5603,744
Mozambique;396,816;300,914;300,392;263,659;270,38;353,788;413,827;187,301;164,966;171,727;271,733;289,247;202,714;200,623;197,895;197,737;252,506;297,228;330,149;364,482;334,841;310,076;317,135;340,566;398,646;432,738;451,128;498,838;579,997;535,666;484,961;604,414;671,212;672,832;683,942;599,4;433,672;463,005;510,38;512,216;456,582;504,038;572,757;618,283;645,329;684,966;713,844;738,92;808,686;884,727
Myanmar;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;109,093;134,372;159,287;145,105;139,436;177,444;213,4;239,129;266,297;347,813;492,977;593,446;727,194;1015,564;1104,637;1175,911;1244,184;1223,742;1163,794;1177,083;1271,677;1302,277;1462,464;1270,854;1146,239;1190,012;1179,396;1186,523;1246,65;1337,201;1436,862;1546,652
Namibia;no data;no data;no data;no data;no data;no data;no data;no data;no data;1765,605;1908,834;2025,611;2264,913;2099,215;2283,063;2499,33;2433,842;2464,783;2239,46;2179,338;2191,84;1945,166;1811,321;2610,82;3457,577;3747,882;3896,549;4354,324;4180,522;4323,868;5389,682;5841,94;6009,224;5472,955;5449,076;4888,059;4454,9;5210,902;5381,47;4798,261;3937,667;4476,585;4405,788;4216,111;4409,957;4710,76;4900,494;5021,649;5154,199;5297,095
Nauru;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3066,932;3053,016;3144,743;2509,316;3982,194;4630,943;4813,327;6521,166;10005,183;8975,704;8630,426;7090,709;7825,366;8550,692;10582,207;10567,406;10346,097;14303,427;12521,601;12078,308;12285,096;13475,957;13886,958;14248,767;14487,982;14912,995
Nepal;144,492;165,128;163,054;174,291;180,152;182,892;194,619;197,599;228,087;225,476;226,445;241,458;213,342;223,029;227,325;241,15;243,348;259,233;252,809;255,294;266,158;269,25;269,082;281,039;319,068;354,973;388,995;440,856;532,331;542,536;671,998;795,314;794,093;809,384;827,394;882,308;880,225;1027,965;1161,534;1185,682;1139,192;1229,474;1348,157;1316,147;1381,053;1486,461;1607,473;1740,418;1885,831;2043,08
Netherlands;13769,867;11445,836;11029,128;10697,422;9918,904;10022,158;13894,771;16919,255;17981,469;17622,133;21612,043;22088,922;24226,072;23389,286;24970,81;29393,998;29141,033;26852,99;28057,363;28440,146;26338,584;27055,556;29505,471;35960,302;40652,199;42225,811;45158,785;52182,448;58383,013;53257,987;51472,808;54814,546;50580,212;52680,978;53584,489;45904,668;46936,707;49640,48;54138,331;53755,165;53529,218;60380,434;59540,881;64829,341;67984,285;70605,529;73104,985;75296,894;77530,215;79813,375
New Zealand;7258,007;7514,602;7381,866;7075,15;6971,354;6954,142;8386,358;11206,658;13664,574;13079,53;13446,23;12426,453;11750,76;12538,638;14612,096;16932,486;18506,444;18206,677;14889,47;15348,777;14021,862;13669,348;15706,932;20460,331;24848,791;27385,506;26219,918;31914,298;31762,876;28270,425;33393,032;38061,507;39683,612;42081,344;44284,679;38224,631;39415,045;42289,966;42757,406;42273,966;41343,891;48856,669;47327,941;47423,081;47072,425;48234,145;49471,521;50651,68;51983,92;53343,376
Nicaragua;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;898,199;935,34;947,14;940,143;973,071;999,413;1030,74;1054,66;1011,904;1010,231;1077,784;1152,801;1224,724;1326,658;1498,88;1438,131;1499,067;1652,096;1728,147;1783,56;1909,424;2029,124;2091,463;2147,856;2008,404;1940,115;1952,183;2163,083;2371,681;2672,628;2877,647;3074,454;3275,227;3489,111;3716,963;3959,694
Niger;609,433;510,028;458,113;395,659;310,002;295,81;378,695;430,394;426,027;394,734;435,341;394,9;393,718;343,177;211,016;241,954;243,965;224,475;250,234;231,66;197,275;207,769;227,424;267,41;285,39;320,925;335,336;389,258;477,272;462,269;476,064;511,49;528,921;551,557;562,888;484,173;497,885;517,589;570,983;554,124;568,606;593,802;592,621;621,04;697,974;752,146;794,429;830,243;865,439;903,018
Nigeria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;652,915;615,663;521,905;553,126;760,992;1224,938;1560,382;1655,818;1802,587;481,951;554,64;583,187;730,836;780,399;963,236;1221,651;1563,031;1791,823;2197,776;1927,476;2328,425;2543,504;2756,41;2998,068;3222,691;2718,586;2176,001;1968,563;2153,094;2361,108;2099,135;2089,072;2198,266;1637,468;877,073;835,488;940,215;977,587;1040,381;1047,084
North Macedonia ;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1263,865;1383,546;1824,421;2387,162;2348,113;1980,432;1888,758;1931,992;1878,24;1839,619;1974,059;2440,818;2810,189;3120,191;3439,899;4204,252;5027,419;4798,697;4837,167;5419,285;5052,951;5629,487;5933,37;5264,132;5605,436;5970,578;6719,639;6720,332;6672,521;7625,26;7498,577;8063,108;8658,893;9439,426;10184,218;11016,803;11859,92;12750,314
Norway;15746,262;15484,681;15196,29;14906,174;14968,787;15728,224;18853,038;22445,038;24143,118;24245,515;28187,293;28514,498;30432,89;27880,632;29236,375;34790,001;37225,29;36561,409;34732,137;36300,553;38094,597;38553,843;43083,871;50161,513;57676,821;66924,047;74255,799;85276,992;97119,989;80115,693;87823,805;100815,931;101779,186;103214,973;97302,705;74568,136;70629,25;75940,175;82605,919;76303,683;68275,277;92955,206;108438,547;87702,851;90433,666;90320,006;90232,818;91941,432;93711,961;95645,805
Oman;5357,779;6019,899;6317,029;6148,449;6324,402;7025,7;5214,195;5145,493;5001,098;5278,566;7267,924;6806,242;7213,061;6995,28;7010,595;7284,846;7869,076;7983,97;6920,864;7554,515;9266,358;9088,213;9285,343;9792,637;11042,532;13563,457;15946,355;17716,421;25061,257;19235,875;21677,793;23518,573;24129,012;23328,489;23219,693;18924,97;17020,387;17731,849;19885,271;19069,329;17076,319;19458,452;22688,95;21062,91;20631,44;20230,482;20462,416;20698,634;20928,671;21254,146
Pakistan;479,064;550,438;584,379;530,372;560,154;545,174;543,594;553,482;621,142;631,367;615,815;684,45;713,395;735,815;723,052;823,987;839,336;807,501;784,545;725,396;733,461;696,936;689,971;771,761;885,149;948,828;1032,277;1146,082;1228,232;1108,978;1137,985;1301,736;1377,776;1390,648;1423,889;1535,348;1566,625;1653,406;1698,034;1500,683;1376,512;1565,575;1651,323;1458,013;1587,604;no data;no data;no data;no data;no data
Palau;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;7818,073;8269,121;8368,738;7889,263;8423,939;9326,273;9766,036;10224,938;10580,885;9969,966;10173,161;10978,367;12320,351;12916,696;13954,244;16036,948;17181,122;16432,535;16341,359;15992,463;14697,164;13384,405;14517,463;16014,467;17977,678;20087,605;21808,301;22830,091;23823,466;24810,638
Panama;2146,47;2371,712;2559,063;2567,34;2619,583;2710,017;2755,167;2708,269;2292,215;2250,821;2397,225;2580,386;2871,87;3071,246;3207,884;3212,815;3711,349;3929,349;4173,999;4286,698;4261,463;4244,106;4324,661;4469,688;4807,66;5146,047;5598,289;6350,183;7369,186;7806,732;8332,576;9653,933;11063,257;12273,18;13221,567;14102,156;14866,506;15731,102;16181,217;16526,419;13342,722;15540,795;17409,626;18725,739;19369,476;20092,051;21058,048;22070,49;23131,608;24243,743
Papua New Guinea;1380,844;1319,408;1223,39;1194,658;1079,594;975,967;1039,809;1159,833;1565,167;1455,035;1265,882;1444,104;1546,581;1713,713;1834,984;1581,631;1639,773;1527,441;1138,365;1013,232;1007,517;862,099;814,701;995,275;1111,943;1269,526;1411,902;1576,159;1883,527;1833,09;2114,866;2479,19;2796,515;2659,914;2766,349;2466,511;2245,439;2343,574;2366,847;2314,745;2124,796;2216,458;2627,783;2518,04;2543,653;2549,511;2565,782;2589,592;2628,179;2651,383
Paraguay;1299,661;1608,463;1636,527;1762,992;1390,886;1154,145;1335,761;1084,695;1392,417;977,835;1185,277;1585,242;1592,055;1580,207;1681,396;1897,134;2008,188;2003,578;1824,648;1706,395;1675,793;1577,681;1312,083;1377,521;1693,886;1857,78;2285,125;2988,684;4054,044;3623,931;4329,69;5301,834;5153,417;5892,846;6065,282;5360,077;5265,061;5608,156;5703,324;5302,239;4885,396;5433,251;5628,472;5685,818;5869,329;6032,681;6273,216;6529,357;6797,567;7077,535
Peru;1150,686;1356,398;1316,278;999,442;1006,416;851,139;1248,386;2015,875;1560,368;1885,285;1285,664;1511,937;1543,242;1469,214;1815,739;2119,375;2163,399;2238,263;2106,752;1872,791;1910,357;1910,299;1998,363;2147,735;2405,294;2677,739;3130,79;3633,714;4286,515;4279,172;5200,933;5928,493;6638,829;6920,082;6880,901;6436,053;6453,923;6992,244;7210,677;7251,682;6328,104;6852,501;7314,211;7912,956;8315,915;8570,382;8818,611;9086,868;9384,99;9708,687
Philippines;774,484;829,816;843,471;735,714;678,342;645,597;615,047;666,915;744,307;816,961;828,821;830,407;946,762;949,733;1094,543;1237,311;1316,406;1279,835;988,487;1112,353;1087,287;1003,957;1050,297;1062,619;1137,068;1261,241;1470,825;1764,683;2011,634;1923,674;2237,157;2473,249;2721,252;2903,189;2995,504;3039,234;3107,646;3153,314;3279,519;3512,195;3312,739;3580,009;3644,792;3906,229;4153,593;4438,704;4758,194;5095,926;5496,898;5927,364
Poland;1595,047;1497,841;1803,464;2056,958;2042,04;1899,817;1965,541;1691,129;1819,392;1772,091;1629,047;2105,486;2315,647;2351,742;2692,704;3612,264;4066,179;4075,977;4459,097;4348,147;4485,064;4987,859;5205,517;5699,557;6684,675;8023,921;9031,797;11252,863;13999,496;11532,283;12510,805;13776,572;13010,54;13550,385;14183,116;12545,188;12369,893;13819,834;15504,366;15694,594;15792,61;18380,545;18701,354;22085,808;23563,217;25040,597;26537,043;28080,278;29492,905;30948,618
Portugal;3338,771;3296,661;3095,102;2838,661;2596,081;2716,65;3774,59;4724,461;5532,631;5977,589;7957,259;9026,319;10863,509;9547,662;9977,635;11787,339;12187,521;11594,778;12216,689;12487,675;11531,467;11734,855;12927,547;15793,822;18055,962;18790,508;19840,493;22813,754;24946,304;23126,066;22539,038;23213,214;20576,747;21653,505;22109,403;19252,053;19986,459;21482,834;23573,253;23333,408;22224,61;24838,758;24798,548;27834,773;29341,17;30946,811;32354,113;33641,039;35019,938;36463,758
Puerto Rico;4507,15;4940,784;5146,929;5257,186;5777,438;6058,641;6495,499;6987,398;7579,339;8094,29;8675,576;9093,48;9687,443;10255,532;10942,949;11667,589;12305,024;12968,394;14430,159;15293,182;16192,127;18243,709;18972,77;19820,208;20988,989;21959,317;22935,951;23664,874;24898,335;25768,726;26435,742;27278,853;27944,742;28513,15;28981,343;29755,35;30585,55;31347,273;31549,375;32851,875;32643,179;33258,313;35489,75;36779,059;37925,934;38514,52;39360,175;40758,3;41964,495;43182,021
Qatar;27242,483;27819,566;22657,373;18003,756;17496,536;15495,701;11644,458;11773,23;10853,896;11039,938;13150,172;11500,519;13038,976;11797,162;12009,396;13689,653;15143,479;18841,6;15421,783;19689,651;30461,311;28600,029;30701,131;35919,758;42548,115;54357,783;60591,776;65934,266;72484,634;53822,909;69796,138;96827,857;101933,117;99180,39;93054,141;66346,911;57965,377;59127,513;66421,617;63007,696;50962,499;65400,854;80385,391;69540,54;71568,394;72759,508;77491,977;83493,415;86751,316;88856,801
Romania;2052,081;2450,352;2441,211;2125,157;1710,302;2101,997;2264,368;2517,949;2593,057;2314,744;1641,855;1241,063;847,68;1147,325;1317,048;1563,117;1565,472;1571,689;1885,349;1600,881;1667,613;1800,966;2108,445;2672,061;3487,699;4608,801;5744,634;8273,885;10446,484;8540,187;8391,048;9546,749;8919,363;9481,981;10025,457;8951,736;9378,957;10717,263;12465,699;12928,148;13021,962;14895,318;15726,433;18424,685;20088,859;21570,103;23066,306;24369,443;25690,8;27102,129
Russian Federation;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;482,052;1321,756;1979,465;2263,016;2785,404;2932,113;1948,059;1424,156;1898,155;2250,201;2546,779;3190,609;4395,83;5697,621;7416,297;9757,472;12463,807;9160,112;11432,428;14310,233;15284,673;15913,302;13984,474;9231,599;8689,368;10665,247;11182,629;11465,343;10074,726;12519,735;15471,593;13738,704;14952,904;15077,117;15495,147;15929,529;16415,241;16792,024
Rwanda;292,782;320,559;329,641;339,297;317,361;364,611;399,283;428,416;442,811;447,143;417,717;298,957;317,043;325,858;223,451;245,276;268,93;345,662;338,306;284,166;266,055;248,99;242,338;257,7;277,634;334,612;368,709;442,334;545,574;585,04;612,567;674,982;730,185;728,395;749,269;758,834;753,876;783,521;797,2;836,286;803,456;854,139;1005,011;1044,352;985,99;990,116;1031,914;1092,522;1168,326;1255,892
Saint Kitts and Nevis;1342,102;1610,662;1845,826;1827,172;2140,448;2398,651;2838,188;3268,041;3900,915;4377,767;4994,094;4969,991;5447,66;5861,979;6464,269;6874,425;7241,085;8045,301;8276,953;8670,442;9261,826;9963,419;10388,287;10109,465;10882,512;11710,746;13747,809;14660,963;16491,885;16373,91;16427,612;17571,611;17293,961;18315,992;19944,975;20025,807;21079,443;22147,971;22533,727;23205,126;18553,579;18035,552;20593,177;22106,297;24202,606;25514,123;26979,316;28342,825;29707,424;31145,833
Saint Lucia;1373,087;1546,061;1439,284;1528,786;1922,756;2141,232;2520,48;2743,223;3096,607;3463,514;4069,783;4249,598;4599,798;4604,862;4736,704;5003,443;5119,759;5181,542;5588,756;5821,497;5843,353;5553,186;5558,316;6051,87;6490,831;6861,984;7614,247;7944,157;8462,296;8248,564;8675,296;9112,904;9231,109;9543,638;10006,484;10292,738;10591,886;11280,6;11585,786;11733,226;8364,868;10393,385;12958,677;13358,349;14034,389;14561,009;15147,378;15703,7;16235,453;16785,213
Saint Vincent and the Grenadines;903,445;1110,425;1227,421;1309,102;1435,282;1537,223;1686,1;1828,411;2077,695;2211,424;2456,285;2584,104;2815,081;2896,038;2924,036;3188,478;3340,515;3500,225;3755,704;3922,719;3973,449;4284,994;4518,089;4710,272;5082,069;5353,688;5933,621;6572,506;6740,48;6564,113;6613,132;6544,688;6686,015;6988,344;7028,297;7154,784;7390,469;7643,104;8001,555;8231,638;7810,304;8021,73;8921,9;9757,972;10557,854;11193,648;11719,012;12256,539;12818,72;13406,688
Samoa;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1655,952;1509,117;1552,03;1557,508;1638,535;1927,085;2341,911;2704,296;2850,163;3121,319;3733,905;3348,774;3658,418;3969,173;4088,771;4182,937;4153,039;4260,583;4325,408;4496,277;4390,958;4472,223;4308,015;4150,674;4064,061;4478,194;5048,032;5350,259;5550,886;5716,055;5872,902;6097,335
San Marino;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;59313,405;61150,61;64498,508;72991,531;79110,201;67011,543;60426,235;57512,891;50336,185;51986,532;51234,869;43068,693;44308,666;45887,687;49477,281;48043,86;45640,984;54733,239;53875,751;58249,292;59840,628;61518,315;63528,453;65183,533;67087,012;69098,01
Saudi Arabia;19543,4;20846,201;16507,688;13252,641;11688,011;9666,717;7698,924;7221,944;7083,177;7287,351;8562,256;9143,234;9242,65;8740,725;8663,672;8957,496;9666,949;9858,984;8512,519;9144,592;10448,562;9898,29;9937,43;11027,928;12891,345;15943,431;17827,397;19196,07;23403,651;18836,967;22028,379;26966,305;28348,563;27290,188;27079,673;22453,58;21515,651;23081,196;28036,026;27892,842;23271,404;28396,104;34454,196;32529,678;32881,339;33287,244;34431,287;35534,399;36763,093;38124,665
Senegal;767,972;677,895;645,372;559,501;529,936;563,251;773,09;902,228;865,668;828,149;936,148;894,485;930,568;852,61;560,956;693,418;706,864;642,569;686,369;689,683;614,004;648,446;680,83;831,623;931,745;993,237;1027,786;1197,551;1403,795;1307,516;1272,622;1366,534;1318,614;1372,686;1397,017;1219,373;1269,553;1361,221;1458,73;1436,224;1465,244;1603,346;1569,546;1703,392;1805,139;1971,701;2061,24;2147,108;2271,229;2457,392
Serbia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1587,882;1302,459;1733,695;2291,259;3009,723;3486,086;3695,343;4398,828;5878,873;7087,453;6168,228;5673,62;6809,94;6014,914;6752,796;6598,935;5588,979;5765,203;6292,546;7252,404;7417,206;7733,803;9186,968;9537,684;11352,113;12513,826;13490,034;14572,108;15680,709;16859,29;18143,399
Seychelles;2329,353;2403,455;2293,938;2280,452;2338,076;2588,553;3165,945;3638,988;4128,118;4407,201;5302,844;5314,655;6128,346;6559,088;6555,429;6748,825;6583,091;7280,929;7715,784;7747,491;7578,829;7663,083;8431,923;8524,935;10176,659;11093,314;12014,418;12155,702;11480,433;9707,265;10805,099;11647,017;11999,897;14762,223;15189,845;15375,608;16721,449;17738,31;18602,985;19366,719;14235,574;15195,623;20804,533;21455,112;21289,801;22001,423;22873,682;23818,846;24841,316;25886,1
Sierra Leone;763,514;798,764;879,697;747,232;859,633;717,241;525,42;447,921;718,879;645,144;349,367;416,697;363,339;412,618;491,526;470,764;507,277;455,422;356,506;348,493;326,755;363,023;400,707;426,455;430,454;473,295;539,31;576,116;640,087;605,023;650,602;731,154;856,045;981,3;929,266;941,231;821,872;776,064;835,315;834,368;837,636;859,108;856,815;754,283;856,315;883,486;881,807;906,224;943,643;970,815
Singapore;5004,992;5672,105;6000,032;6717,837;7160,262;6788,387;6870,769;7794,688;9328,951;10725,743;12763,342;14501,96;16136,244;18290,132;21552,408;24914,851;26232,869;26375,868;21829,278;21796,642;23852,834;21699,748;22159,833;23730,379;27608,075;29961,308;33768,446;39432,895;40008,577;38926,813;47236,672;53891,462;55547,546;56967,426;57564,802;55645,607;56899,903;61162,097;66840,654;66081,704;61466,819;79601,393;88428,724;84734,277;89369,715;93956,009;97631,605;101263,964;104998,871;109058,283
Slovak Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2571,858;2950,872;3711,964;4004,779;4076,513;4236,587;3869,065;3839,791;3982,442;4626,832;6341,548;8040,084;9141,855;10700,341;14374,845;18074,617;16591,492;16925,867;18526,85;17519,973;18284,914;18734,166;16399,966;16572,743;17591,553;19508,308;19397,274;19541,007;21730,181;21284,578;24468,025;26290,363;28176,905;29706,153;31157,356;32715,799;34232,398
Slovenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;9646,107;8363,794;8474,175;10755,993;10792,457;10452,26;11123,988;11457,877;10193,539;10397,982;11666,411;14736,002;17125,36;18022,5;19613,552;23819,362;27609,896;24563,148;23367,241;24968,511;22474,535;23250,102;24029,664;20705,968;21450,814;23300,425;25987,659;25909,807;25451,13;29194,311;28462,153;32673,257;34544,168;36495,357;38217,756;39931,575;41775,462;43739,849
Solomon Islands;793,112;812,633;782,719;711,88;691,194;611,274;529,419;540,761;598,335;570,057;684,653;701,363;803,081;870,265;1131,066;1280,065;1353,224;1357,49;1148,356;1193,092;991,855;935,937;766,748;756,444;827,751;964,222;1058,645;1185,808;1301,382;1334,47;1492,242;1799,714;1977,725;2090,22;2116,109;2021,371;2080,758;2164,95;2325,003;2278,163;2118,582;2059,05;2077,115;2124,809;2208,925;2299,604;2393,472;2500,509;2613,388;2732,51
Somalia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;437,51;481,924;514,688;531,556;558,643;606,778;563,115;602,186;583,956;624,408;653,449;683,343;771,447;818,653;863,287;907,365;951,434;1002,79
South Africa;3074,684;3122,686;2806,158;3062,892;2633,905;1955,165;2176,064;2801,31;2954,825;3004,44;3425,585;3587,879;3802,578;3716,193;3786,21;4145,21;3869,7;3937,658;3508,14;3423,595;3382,066;2964,029;2778,115;4191,4;5392,861;6007,979;6250,883;6752,256;6337,933;6538,166;8118,173;8784,648;8185,718;7431,908;6952,314;6222,526;5721,189;6647,093;6956,41;6582,757;5630,983;6938,723;6629,419;6111,746;6377,068;6517,088;6643,386;6761,907;6873,106;6996,419
South Sudan, Republic of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1659,546;1041,463;1337,232;1316,271;1289,835;237,024;143,342;240,32;302,262;393,589;418,969;550,861;478,118;340,986;334,14;433,9;438,409;446,639;469,176
Spain;6135,682;5388,634;5177,997;4507,463;4477,241;4700,625;6485,394;8197,52;9610,66;10579,336;13710,748;14715,866;16033,163;13426,452;13436,388;15494,944;16157,469;14811,137;15485,291;15790,744;14754,682;15400,142;17102,295;21512,25;24950,174;26459,841;28446,77;32649,222;35576,848;32241,569;30693,281;31823,406;28478,514;29236,149;29719,01;25991,877;26752,982;28394,717;30651,153;29798,124;27214,292;30893,22;30402,921;33895,593;35788,734;37361,964;38706,638;39792,186;40983,873;42274,326
Sri Lanka;333,918;342,812;365,498;389,999;452,288;443,046;470,142;484,746;501,62;498,479;564,868;611,088;651,332;689,023;787,255;829,22;903,331;1003,944;1026,15;1025,7;1065,469;1017,154;1061,683;1162,71;1259,771;1477,595;1698,156;1928,714;2410,801;2472,242;2894,26;3320,074;3446,355;3737,366;3969,713;4057,742;4150,367;4401,055;4360,149;4082,694;3846,175;3999,337;3330,376;no data;no data;no data;no data;no data;no data;no data
Sudan;486,908;339,389;239,807;318,513;375,019;253,184;328,588;516,781;404,705;696,391;87,197;95,292;113,476;186,506;205,922;239,507;292,909;350,723;366,582;352,442;422,316;492,676;554,652;635,575;772,939;996,677;1249,767;1599,596;1700,513;1401,244;1637,419;2034,461;1396,292;1462,582;1628,497;1679,025;1638,638;1199,177;800,064;728,42;794,696;772,509;718,049;795,679;606,289;594,903;694,315;738,09;776,146;807,142
Suriname;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1412,471;1537,047;1405,473;1093,836;1212,382;2272,326;2787,957;2947,257;3492,771;2839,043;2902,478;2466,333;3078,446;3549,926;4034,358;4773,442;5545,702;6123,002;7266,624;7864,591;8734,16;8756,276;9767,349;9936,505;9966,713;9036,203;5762,414;6158,572;6772,07;6715,747;4782,092;4987,986;5784,332;5879,596;7599,512;7544,681;7864,413;8154,67;8323,138;8561,392
Sweden;16779,521;15307,597;13498,006;12398,756;12901,006;13471,051;17749,347;21504,057;24198,345;25265,03;30078,707;31307,878;32396,206;24316,028;25940,638;30218,291;33009,711;30319,117;30594,173;30956,584;29596,993;27219,096;29904,825;37219,938;42673,53;43291,52;46364,062;53365,592;55596,078;46496,896;52333,874;60165,568;57529,127;60563,645;59270,463;50928,576;51446,757;52971,455;53890,765;51528,899;52522,605;60961,254;55115,015;55433,135;57212,541;59508,263;61700,124;64056,854;66433,241;68908,434
Switzerland;19426,638;17699,844;18027,725;17865,396;17019,366;17187,864;24529,567;30520,621;32794,286;31440,365;39842,782;39811,005;40883,18;39375,507;43226,544;50300,388;48181,651;41640,758;42737,474;41771,329;38984,533;39840,715;42667,36;49517,32;54786,321;56402,171;59238,78;65396,963;74669,867;71918,046;76847,27;90952,845;86303,678;87918,427;89274,25;84224,924;82589,322;82601,498;85561,001;84481,041;86138,871;93966,493;94798,83;101510,023;106097,643;111716,018;116005,053;119533,938;123945,863;127709,344
Syria;1421,836;1763,344;1784,577;1849,427;1839,915;1965,139;2284,039;2823,157;1389,823;800,859;967,145;972,175;983,575;995,061;1060,707;1133,162;1186,162;1080,812;1028,169;1043,174;1202,891;1236,897;1305,087;1208,885;1361,499;1510,392;1726,028;2016,052;2557,211;2557,267;2806,685;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data
S�o Tom� and Pr�ncipe;775,709;931,011;876,128;800,45;812,985;837,601;1142,825;1111,67;922,926;892,384;1050,252;920,765;788,501;1033,02;1058,931;820,593;1050,097;700,969;541,273;568,499;550,516;505,213;552,891;647,954;692,685;809,407;839,546;885,101;1125,875;1173,498;1090,263;1274,447;1262,796;1439,109;1545,253;1335,729;1470,016;1594,356;1851,025;1953,567;2181,87;2370,311;2404,719;2949,403;3424,836;3933,156;4165,429;4450,578;4738,015;5042,035
Taiwan Province of China;2366,797;2691,494;2675,311;2881,66;3202,615;3293,869;4008,134;5325,173;6338,1;7575,906;8167,2;9081,901;10715,536;11256,711;12099,746;13066,128;13588,306;13948,722;12767,078;13752,716;14844,238;13357,195;13651,355;14040,597;15290,307;16427,459;16892,883;17723,704;18053,591;16904,543;19181,358;20838,589;21256,361;21945,46;22844,316;22752,991;23070,733;25061,624;25825,566;25903,168;28571,44;33070,701;32609,595;32404,32;33233,799;34924,211;36862,306;38682,258;40171,627;41001,791
Tajikistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;52,622;121,645;147,923;100,448;183,374;192,58;222,282;177,712;159,417;167,035;187,958;236,394;308,844;337,129;401,586;519,025;702,445;666,024;738,287;834,52;949,648;1040,15;1105,197;919,073;800,645;844,595;852,341;893,318;858,445;925,135;1066,747;1183,908;1275,5;1367,091;1466,706;1573,025;1680,514;1795,903
Tanzania;602,924;699,181;778,244;772,741;682,028;596,872;732,197;350,129;324,721;271,496;211,031;237,573;213,148;190,679;195,663;221,366;266,49;307,987;370,188;370,918;380,08;377,469;382,287;401,068;428,911;459,755;491,351;551,847;683,547;700,567;739,903;774,979;867,852;970,271;1030,316;948,688;966,292;1017,437;1001,744;1043,939;1092,613;1137,865;1205,866;1249,348;1224,368;1272,459;1344,124;1428,988;1521,887;1620,154
